Country,Sector,Date,Measures
Afghanistan,Agriculture,1990,5.36
Afghanistan,Agriculture,1991,5.61
Afghanistan,Agriculture,1992,5.67
Afghanistan,Agriculture,1993,5.72
Afghanistan,Agriculture,1994,5.93
Afghanistan,Agriculture,1995,6.25
Afghanistan,Agriculture,1996,7.04
Afghanistan,Agriculture,1997,7.71
Afghanistan,Agriculture,1998,8.22
Afghanistan,Agriculture,1999,8.99
Afghanistan,Agriculture,2000,7.71
Afghanistan,Agriculture,2001,6.42
Afghanistan,Agriculture,2002,8.19
Afghanistan,Agriculture,2003,8.43
Afghanistan,Agriculture,2004,8.34
Afghanistan,Agriculture,2005,8.5
Afghanistan,Agriculture,2006,8.65
Afghanistan,Agriculture,2007,8.8
Afghanistan,Agriculture,2008,9.8
Afghanistan,Agriculture,2009,9.99
Afghanistan,Agriculture,2010,11.51
Afghanistan,Agriculture,2011,11.53
Afghanistan,Agriculture,2012,11.38
Afghanistan,Agriculture,2013,11.28
Afghanistan,Agriculture,2014,11.48
Afghanistan,Agriculture,2015,10.85
Afghanistan,Agriculture,2016,10.63
Afghanistan,Agriculture,2017,10.33
Afghanistan,Agriculture,2018,10.45
Afghanistan,Energy,1990,2.51
Afghanistan,Energy,1991,2.29
Afghanistan,Energy,1992,2.06
Afghanistan,Energy,1993,1.84
Afghanistan,Energy,1994,1.62
Afghanistan,Energy,1995,1.4
Afghanistan,Energy,1996,1.34
Afghanistan,Energy,1997,1.29
Afghanistan,Energy,1998,1.23
Afghanistan,Energy,1999,1.18
Afghanistan,Energy,2000,1.12
Afghanistan,Energy,2001,1.1
Afghanistan,Energy,2002,1.07
Afghanistan,Energy,2003,1.05
Afghanistan,Energy,2004,1.02
Afghanistan,Energy,2005,1.0
Afghanistan,Energy,2006,4.0
Afghanistan,Energy,2007,7.0
Afghanistan,Energy,2008,9.99
Afghanistan,Energy,2009,12.99
Afghanistan,Energy,2010,15.99
Afghanistan,Energy,2011,25.36
Afghanistan,Energy,2012,34.72
Afghanistan,Energy,2013,44.09
Afghanistan,Energy,2014,53.45
Afghanistan,Energy,2015,62.82
Afghanistan,Energy,2016,64.51
Afghanistan,Energy,2017,66.21
Afghanistan,Energy,2018,67.91
Afghanistan,Fugitive Emissions,1990,0.28
Afghanistan,Fugitive Emissions,1991,0.24
Afghanistan,Fugitive Emissions,1992,0.2
Afghanistan,Fugitive Emissions,1993,0.16
Afghanistan,Fugitive Emissions,1994,0.12
Afghanistan,Fugitive Emissions,1995,0.08
Afghanistan,Fugitive Emissions,1996,0.09
Afghanistan,Fugitive Emissions,1997,0.09
Afghanistan,Fugitive Emissions,1998,0.09
Afghanistan,Fugitive Emissions,1999,0.09
Afghanistan,Fugitive Emissions,2000,0.09
Afghanistan,Fugitive Emissions,2001,0.08
Afghanistan,Fugitive Emissions,2002,0.08
Afghanistan,Fugitive Emissions,2003,0.07
Afghanistan,Fugitive Emissions,2004,0.06
Afghanistan,Fugitive Emissions,2005,0.06
Afghanistan,Fugitive Emissions,2006,0.28
Afghanistan,Fugitive Emissions,2007,0.5
Afghanistan,Fugitive Emissions,2008,0.73
Afghanistan,Fugitive Emissions,2009,0.95
Afghanistan,Fugitive Emissions,2010,1.17
Afghanistan,Fugitive Emissions,2011,1.38
Afghanistan,Fugitive Emissions,2012,1.58
Afghanistan,Fugitive Emissions,2013,1.78
Afghanistan,Fugitive Emissions,2014,1.98
Afghanistan,Fugitive Emissions,2015,2.18
Afghanistan,Fugitive Emissions,2016,2.19
Afghanistan,Fugitive Emissions,2017,2.21
Afghanistan,Fugitive Emissions,2018,2.22
Afghanistan,Industrial Processes,1990,0.0
Afghanistan,Industrial Processes,1991,0.0
Afghanistan,Industrial Processes,1992,0.0
Afghanistan,Industrial Processes,1993,0.0
Afghanistan,Industrial Processes,1994,0.0
Afghanistan,Industrial Processes,1995,0.0
Afghanistan,Industrial Processes,1996,0.0
Afghanistan,Industrial Processes,1997,0.0
Afghanistan,Industrial Processes,1998,0.0
Afghanistan,Industrial Processes,1999,0.0
Afghanistan,Industrial Processes,2000,0.0
Afghanistan,Industrial Processes,2001,0.0
Afghanistan,Industrial Processes,2002,0.0
Afghanistan,Industrial Processes,2003,0.0
Afghanistan,Industrial Processes,2004,0.0
Afghanistan,Industrial Processes,2005,0.0
Afghanistan,Industrial Processes,2006,0.0
Afghanistan,Industrial Processes,2007,0.0
Afghanistan,Industrial Processes,2008,0.0
Afghanistan,Industrial Processes,2009,0.0
Afghanistan,Industrial Processes,2010,0.0
